"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABADIA DOS DOURADOS";"AÉCIO NEVES";"1461"
"ABADIA DOS DOURADOS";"BRANCO";"158"
"ABADIA DOS DOURADOS";"DILMA";"2478"
"ABADIA DOS DOURADOS";"EDUARDO JORGE";"11"
"ABADIA DOS DOURADOS";"EYMAEL";"1"
"ABADIA DOS DOURADOS";"LEVY FIDELIX";"9"
"ABADIA DOS DOURADOS";"LUCIANA GENRO";"22"
"ABADIA DOS DOURADOS";"MARINA SILVA";"358"
"ABADIA DOS DOURADOS";"MAURO IASI";"2"
"ABADIA DOS DOURADOS";"NULO";"236"
"ABADIA DOS DOURADOS";"PASTOR EVERALDO";"30"
"ABADIA DOS DOURADOS";"RUI COSTA PIMENTA";"1"
"ABADIA DOS DOURADOS";"ZÉ MARIA";"2"
"ABAETÉ";"AÉCIO NEVES";"7671"
"ABAETÉ";"BRANCO";"557"
"ABAETÉ";"DILMA";"4649"
"ABAETÉ";"EDUARDO JORGE";"61"
"ABAETÉ";"EYMAEL";"5"
"ABAETÉ";"LEVY FIDELIX";"8"
"ABAETÉ";"LUCIANA GENRO";"107"
"ABAETÉ";"MARINA SILVA";"895"
"ABAETÉ";"MAURO IASI";"6"
"ABAETÉ";"NULO";"442"
"ABAETÉ";"PASTOR EVERALDO";"29"
"ABAETÉ";"RUI COSTA PIMENTA";"4"
"ABAETÉ";"ZÉ MARIA";"1"
"ABRE CAMPO";"AÉCIO NEVES";"2556"
"ABRE CAMPO";"BRANCO";"238"
"ABRE CAMPO";"DILMA";"4732"
"ABRE CAMPO";"EDUARDO JORGE";"9"
"ABRE CAMPO";"LEVY FIDELIX";"6"
"ABRE CAMPO";"LUCIANA GENRO";"38"
"ABRE CAMPO";"MARINA SILVA";"583"
"ABRE CAMPO";"MAURO IASI";"3"
"ABRE CAMPO";"NULO";"403"
"ABRE CAMPO";"PASTOR EVERALDO";"22"
"ABRE CAMPO";"RUI COSTA PIMENTA";"1"
"ABRE CAMPO";"ZÉ MARIA";"4"
"ACAIACA";"AÉCIO NEVES";"654"
"ACAIACA";"BRANCO";"69"
"ACAIACA";"DILMA";"1639"
"ACAIACA";"EDUARDO JORGE";"1"
"ACAIACA";"LEVY FIDELIX";"2"
"ACAIACA";"LUCIANA GENRO";"5"
"ACAIACA";"MARINA SILVA";"101"
"ACAIACA";"MAURO IASI";"1"
"ACAIACA";"NULO";"100"
"ACAIACA";"PASTOR EVERALDO";"16"
"ACAIACA";"ZÉ MARIA";"5"
"AGUANIL";"AÉCIO NEVES";"725"
"AGUANIL";"BRANCO";"109"
"AGUANIL";"DILMA";"1770"
"AGUANIL";"EDUARDO JORGE";"10"
"AGUANIL";"LEVY FIDELIX";"10"
"AGUANIL";"LUCIANA GENRO";"25"
"AGUANIL";"MARINA SILVA";"341"
"AGUANIL";"NULO";"141"
"AGUANIL";"PASTOR EVERALDO";"19"
"AGUANIL";"ZÉ MARIA";"1"
"AIMORÉS";"AÉCIO NEVES";"3551"
"AIMORÉS";"BRANCO";"377"
"AIMORÉS";"DILMA";"7352"
"AIMORÉS";"EDUARDO JORGE";"36"
"AIMORÉS";"EYMAEL";"7"
"AIMORÉS";"LEVY FIDELIX";"34"
"AIMORÉS";"LUCIANA GENRO";"45"
"AIMORÉS";"MARINA SILVA";"2292"
"AIMORÉS";"MAURO IASI";"4"
"AIMORÉS";"NULO";"542"
"AIMORÉS";"PASTOR EVERALDO";"105"
"AIMORÉS";"RUI COSTA PIMENTA";"1"
"AIMORÉS";"ZÉ MARIA";"4"
"AIURUOCA";"AÉCIO NEVES";"1702"
"AIURUOCA";"BRANCO";"122"
"AIURUOCA";"DILMA";"1541"
"AIURUOCA";"EDUARDO JORGE";"35"
"AIURUOCA";"LEVY FIDELIX";"13"
"AIURUOCA";"LUCIANA GENRO";"21"
"AIURUOCA";"MARINA SILVA";"198"
"AIURUOCA";"MAURO IASI";"2"
"AIURUOCA";"NULO";"204"
"AIURUOCA";"PASTOR EVERALDO";"14"
"AIURUOCA";"RUI COSTA PIMENTA";"1"
"AIURUOCA";"ZÉ MARIA";"5"
"ALAGOA";"AÉCIO NEVES";"1388"
"ALAGOA";"BRANCO";"49"
"ALAGOA";"DILMA";"343"
"ALAGOA";"EDUARDO JORGE";"19"
"ALAGOA";"EYMAEL";"2"
"ALAGOA";"LEVY FIDELIX";"1"
"ALAGOA";"LUCIANA GENRO";"6"
"ALAGOA";"MARINA SILVA";"76"
"ALAGOA";"MAURO IASI";"1"
"ALAGOA";"NULO";"34"
"ALAGOA";"PASTOR EVERALDO";"2"
"ALBERTINA";"AÉCIO NEVES";"1538"
"ALBERTINA";"BRANCO";"30"
"ALBERTINA";"DILMA";"265"
"ALBERTINA";"EDUARDO JORGE";"2"
"ALBERTINA";"EYMAEL";"1"
"ALBERTINA";"LUCIANA GENRO";"2"
"ALBERTINA";"MARINA SILVA";"66"
"ALBERTINA";"NULO";"53"
"ALBERTINA";"PASTOR EVERALDO";"6"
"ALBERTINA";"ZÉ MARIA";"4"
"ALFENAS";"AÉCIO NEVES";"20017"
"ALFENAS";"BRANCO";"1976"
"ALFENAS";"DILMA";"14577"
"ALFENAS";"EDUARDO JORGE";"231"
"ALFENAS";"EYMAEL";"18"
"ALFENAS";"LEVY FIDELIX";"109"
"ALFENAS";"LUCIANA GENRO";"641"
"ALFENAS";"MARINA SILVA";"5686"
"ALFENAS";"MAURO IASI";"14"
"ALFENAS";"NULO";"1634"
"ALFENAS";"PASTOR EVERALDO";"331"
"ALFENAS";"RUI COSTA PIMENTA";"5"
"ALFENAS";"ZÉ MARIA";"21"
"ALFREDO VASCONCELOS";"AÉCIO NEVES";"1019"
"ALFREDO VASCONCELOS";"BRANCO";"146"
"ALFREDO VASCONCELOS";"DILMA";"2568"
"ALFREDO VASCONCELOS";"EDUARDO JORGE";"2"
"ALFREDO VASCONCELOS";"EYMAEL";"9"
"ALFREDO VASCONCELOS";"LEVY FIDELIX";"11"
"ALFREDO VASCONCELOS";"LUCIANA GENRO";"61"
"ALFREDO VASCONCELOS";"MARINA SILVA";"372"
"ALFREDO VASCONCELOS";"MAURO IASI";"1"
"ALFREDO VASCONCELOS";"NULO";"256"
"ALFREDO VASCONCELOS";"PASTOR EVERALDO";"14"
"ALFREDO VASCONCELOS";"ZÉ MARIA";"1"
"ALMENARA";"AÉCIO NEVES";"3592"
"ALMENARA";"BRANCO";"301"
"ALMENARA";"DILMA";"13676"
"ALMENARA";"EDUARDO JORGE";"32"
"ALMENARA";"EYMAEL";"2"
"ALMENARA";"LEVY FIDELIX";"30"
"ALMENARA";"LUCIANA GENRO";"39"
"ALMENARA";"MARINA SILVA";"1780"
"ALMENARA";"MAURO IASI";"9"
"ALMENARA";"NULO";"1075"
"ALMENARA";"PASTOR EVERALDO";"72"
"ALMENARA";"ZÉ MARIA";"12"
"ALPERCATA";"AÉCIO NEVES";"1092"
"ALPERCATA";"BRANCO";"148"
"ALPERCATA";"DILMA";"2839"
"ALPERCATA";"EDUARDO JORGE";"7"
"ALPERCATA";"LEVY FIDELIX";"8"
"ALPERCATA";"LUCIANA GENRO";"7"
"ALPERCATA";"MARINA SILVA";"503"
"ALPERCATA";"NULO";"213"
"ALPERCATA";"PASTOR EVERALDO";"14"
"ALPERCATA";"ZÉ MARIA";"2"
"ALPINÓPOLIS";"AÉCIO NEVES";"3605"
"ALPINÓPOLIS";"BRANCO";"353"
"ALPINÓPOLIS";"DILMA";"6733"
"ALPINÓPOLIS";"EDUARDO JORGE";"44"
"ALPINÓPOLIS";"EYMAEL";"6"
"ALPINÓPOLIS";"LEVY FIDELIX";"41"
"ALPINÓPOLIS";"LUCIANA GENRO";"113"
"ALPINÓPOLIS";"MARINA SILVA";"823"
"ALPINÓPOLIS";"MAURO IASI";"1"
"ALPINÓPOLIS";"NULO";"398"
"ALPINÓPOLIS";"PASTOR EVERALDO";"45"
"ALPINÓPOLIS";"ZÉ MARIA";"9"
"ALTEROSA";"AÉCIO NEVES";"3917"
"ALTEROSA";"BRANCO";"214"
"ALTEROSA";"DILMA";"4656"
"ALTEROSA";"EDUARDO JORGE";"22"
"ALTEROSA";"LEVY FIDELIX";"7"
"ALTEROSA";"LUCIANA GENRO";"33"
"ALTEROSA";"MARINA SILVA";"395"
"ALTEROSA";"MAURO IASI";"1"
"ALTEROSA";"NULO";"206"
"ALTEROSA";"PASTOR EVERALDO";"13"
"ALTEROSA";"ZÉ MARIA";"2"
"ALTO CAPARAÓ";"AÉCIO NEVES";"1247"
"ALTO CAPARAÓ";"BRANCO";"67"
"ALTO CAPARAÓ";"DILMA";"1233"
"ALTO CAPARAÓ";"EDUARDO JORGE";"3"
