"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ANADIA";"AÉCIO NEVES";"2559"
"ANADIA";"BRANCO";"136"
"ANADIA";"DILMA";"5452"
"ANADIA";"NULO";"361"
"ARAPIRACA";"AÉCIO NEVES";"41362"
"ARAPIRACA";"BRANCO";"1448"
"ARAPIRACA";"DILMA";"63635"
"ARAPIRACA";"NULO";"3601"
"ATALAIA";"AÉCIO NEVES";"7598"
"ATALAIA";"BRANCO";"366"
"ATALAIA";"DILMA";"12895"
"ATALAIA";"NULO";"734"
"BARRA DE SANTO ANTÔNIO";"AÉCIO NEVES";"2465"
"BARRA DE SANTO ANTÔNIO";"BRANCO";"145"
"BARRA DE SANTO ANTÔNIO";"DILMA";"4832"
"BARRA DE SANTO ANTÔNIO";"NULO";"273"
"BARRA DE SÃO MIGUEL";"AÉCIO NEVES";"2133"
"BARRA DE SÃO MIGUEL";"BRANCO";"40"
"BARRA DE SÃO MIGUEL";"DILMA";"2334"
"BARRA DE SÃO MIGUEL";"NULO";"163"
"BATALHA";"AÉCIO NEVES";"2029"
"BATALHA";"BRANCO";"60"
"BATALHA";"DILMA";"6389"
"BATALHA";"NULO";"271"
"BELO MONTE";"AÉCIO NEVES";"563"
"BELO MONTE";"BRANCO";"20"
"BELO MONTE";"DILMA";"2689"
"BELO MONTE";"NULO";"106"
"BELÉM";"AÉCIO NEVES";"1024"
"BELÉM";"BRANCO";"66"
"BELÉM";"DILMA";"2174"
"BELÉM";"NULO";"135"
"BOCA DA MATA";"AÉCIO NEVES";"5008"
"BOCA DA MATA";"BRANCO";"264"
"BOCA DA MATA";"DILMA";"8306"
"BOCA DA MATA";"NULO";"612"
"BRANQUINHA";"AÉCIO NEVES";"1764"
"BRANQUINHA";"BRANCO";"100"
"BRANQUINHA";"DILMA";"3205"
"BRANQUINHA";"NULO";"213"
"CACIMBINHAS";"AÉCIO NEVES";"1279"
"CACIMBINHAS";"BRANCO";"49"
"CACIMBINHAS";"DILMA";"3977"
"CACIMBINHAS";"NULO";"203"
"CAJUEIRO";"AÉCIO NEVES";"4426"
"CAJUEIRO";"BRANCO";"164"
"CAJUEIRO";"DILMA";"5009"
"CAJUEIRO";"NULO";"418"
"CAMPESTRE";"AÉCIO NEVES";"1114"
"CAMPESTRE";"BRANCO";"62"
"CAMPESTRE";"DILMA";"2176"
"CAMPESTRE";"NULO";"119"
"CAMPO ALEGRE";"AÉCIO NEVES";"5284"
"CAMPO ALEGRE";"BRANCO";"223"
"CAMPO ALEGRE";"DILMA";"9741"
"CAMPO ALEGRE";"NULO";"583"
"CAMPO GRANDE";"AÉCIO NEVES";"844"
"CAMPO GRANDE";"BRANCO";"60"
"CAMPO GRANDE";"DILMA";"4802"
"CAMPO GRANDE";"NULO";"180"
"CANAPI";"AÉCIO NEVES";"934"
"CANAPI";"BRANCO";"82"
"CANAPI";"DILMA";"7265"
"CANAPI";"NULO";"290"
"CAPELA";"AÉCIO NEVES";"3332"
"CAPELA";"BRANCO";"138"
"CAPELA";"DILMA";"5326"
"CAPELA";"NULO";"353"
"CARNEIROS";"AÉCIO NEVES";"684"
"CARNEIROS";"BRANCO";"36"
"CARNEIROS";"DILMA";"3498"
