"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABADIA DOS DOURADOS";"AÉCIO NEVES";"1689"
"ABADIA DOS DOURADOS";"BRANCO";"45"
"ABADIA DOS DOURADOS";"DILMA";"2790"
"ABADIA DOS DOURADOS";"NULO";"158"
"ABAETÉ";"AÉCIO NEVES";"8327"
"ABAETÉ";"BRANCO";"192"
"ABAETÉ";"DILMA";"5288"
"ABAETÉ";"NULO";"306"
"ABRE CAMPO";"AÉCIO NEVES";"3207"
"ABRE CAMPO";"BRANCO";"100"
"ABRE CAMPO";"DILMA";"4984"
"ABRE CAMPO";"NULO";"213"
"ACAIACA";"AÉCIO NEVES";"722"
"ACAIACA";"BRANCO";"23"
"ACAIACA";"DILMA";"1739"
"ACAIACA";"NULO";"64"
"AGUANIL";"AÉCIO NEVES";"950"
"AGUANIL";"BRANCO";"50"
"AGUANIL";"DILMA";"1961"
"AGUANIL";"NULO";"98"
"AIMORÉS";"AÉCIO NEVES";"5399"
"AIMORÉS";"BRANCO";"194"
"AIMORÉS";"DILMA";"8240"
"AIMORÉS";"NULO";"397"
"AIURUOCA";"AÉCIO NEVES";"1743"
"AIURUOCA";"BRANCO";"45"
"AIURUOCA";"DILMA";"1935"
"AIURUOCA";"NULO";"157"
"ALAGOA";"AÉCIO NEVES";"1372"
"ALAGOA";"BRANCO";"22"
"ALAGOA";"DILMA";"456"
"ALAGOA";"NULO";"33"
"ALBERTINA";"AÉCIO NEVES";"1542"
"ALBERTINA";"BRANCO";"14"
"ALBERTINA";"DILMA";"367"
"ALBERTINA";"NULO";"71"
"ALFENAS";"AÉCIO NEVES";"24145"
"ALFENAS";"BRANCO";"690"
"ALFENAS";"DILMA";"19167"
"ALFENAS";"NULO";"1240"
"ALFREDO VASCONCELOS";"AÉCIO NEVES";"1290"
"ALFREDO VASCONCELOS";"BRANCO";"43"
"ALFREDO VASCONCELOS";"DILMA";"2931"
"ALFREDO VASCONCELOS";"NULO";"155"
"ALMENARA";"AÉCIO NEVES";"4751"
"ALMENARA";"BRANCO";"190"
"ALMENARA";"DILMA";"14884"
"ALMENARA";"NULO";"656"
"ALPERCATA";"AÉCIO NEVES";"1453"
"ALPERCATA";"BRANCO";"46"
"ALPERCATA";"DILMA";"3151"
"ALPERCATA";"NULO";"135"
"ALPINÓPOLIS";"AÉCIO NEVES";"4202"
"ALPINÓPOLIS";"BRANCO";"142"
"ALPINÓPOLIS";"DILMA";"7344"
"ALPINÓPOLIS";"NULO";"283"
"ALTEROSA";"AÉCIO NEVES";"4356"
"ALTEROSA";"BRANCO";"84"
"ALTEROSA";"DILMA";"4836"
"ALTEROSA";"NULO";"164"
"ALTO CAPARAÓ";"AÉCIO NEVES";"1804"
"ALTO CAPARAÓ";"BRANCO";"43"
"ALTO CAPARAÓ";"DILMA";"1320"
"ALTO CAPARAÓ";"NULO";"72"
"ALTO JEQUITIBÁ";"AÉCIO NEVES";"2814"
"ALTO JEQUITIBÁ";"BRANCO";"59"
"ALTO JEQUITIBÁ";"DILMA";"2370"
"ALTO JEQUITIBÁ";"NULO";"186"
"ALTO RIO DOCE";"AÉCIO NEVES";"2347"
"ALTO RIO DOCE";"BRANCO";"74"
"ALTO RIO DOCE";"DILMA";"4434"
"ALTO RIO DOCE";"NULO";"195"
"ALVARENGA";"AÉCIO NEVES";"1417"
"ALVARENGA";"BRANCO";"15"
"ALVARENGA";"DILMA";"1831"
"ALVARENGA";"NULO";"56"
"ALVINÓPOLIS";"AÉCIO NEVES";"2776"
"ALVINÓPOLIS";"BRANCO";"108"
"ALVINÓPOLIS";"DILMA";"6771"
"ALVINÓPOLIS";"NULO";"363"
"ALVORADA DE MINAS";"AÉCIO NEVES";"731"
"ALVORADA DE MINAS";"BRANCO";"36"
"ALVORADA DE MINAS";"DILMA";"1695"
"ALVORADA DE MINAS";"NULO";"98"
"ALÉM PARAÍBA";"AÉCIO NEVES";"6840"
"ALÉM PARAÍBA";"BRANCO";"265"
"ALÉM PARAÍBA";"DILMA";"13533"
"ALÉM PARAÍBA";"NULO";"711"
"AMPARO DO SERRA";"AÉCIO NEVES";"828"
