"ALVARO DIAS";"BRANCO";"CABO DACIOLO";"CIRO GOMES";"EYMAEL";"FERNANDO HADDAD";"GERALDO ALCKMIN";"GUILHERME BOULOS";"HENRIQUE MEIRELLES";"JAIR BOLSONARO";"JOÃO AMOÊDO";"JOÃO GOULART FILHO";"MARINA SILVA";"NULO";"VERA";"DÍGITO"
"1782";"1582";"1690";"1745";"1542";"1691";"1760";"1771";"1658";"1925";"1714";"1613";"1825";"1733";"1554";"1"
"1017";"1027";"1020";"998";"827";"932";"1032";"918";"1047";"1074";"1035";"838";"953";"1041";"933";"2"
"689";"737";"703";"746";"505";"735";"680";"652";"718";"719";"703";"467";"646";"711";"616";"3"
"529";"574";"568";"570";"334";"585";"488";"557";"564";"468";"532";"269";"470";"552";"431";"4"
"419";"470";"441";"431";"220";"458";"398";"443";"445";"365";"435";"211";"455";"441";"291";"5"
"368";"406";"367";"352";"153";"382";"394";"364";"355";"315";"377";"145";"382";"346";"201";"6"
"334";"309";"289";"343";"122";"342";"311";"347";"328";"293";"330";"90";"340";"287";"145";"7"
"259";"293";"284";"268";"96";"307";"322";"309";"280";"281";"293";"65";"284";"294";"114";"8"
"233";"253";"241";"239";"82";"258";"287";"242";"246";"254";"248";"60";"276";"260";"96";"9"
