"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABARÉ";"BRANCO";"107"
"ABARÉ";"FERNANDO HADDAD";"7453"
"ABARÉ";"JAIR BOLSONARO";"2077"
"ABARÉ";"NULO";"444"
"ABAÍRA";"BRANCO";"88"
"ABAÍRA";"FERNANDO HADDAD";"2694"
"ABAÍRA";"JAIR BOLSONARO";"1742"
"ABAÍRA";"NULO";"457"
"ACAJUTIBA";"BRANCO";"119"
"ACAJUTIBA";"FERNANDO HADDAD";"5944"
"ACAJUTIBA";"JAIR BOLSONARO";"1476"
"ACAJUTIBA";"NULO";"468"
"ADUSTINA";"BRANCO";"105"
"ADUSTINA";"FERNANDO HADDAD";"7361"
"ADUSTINA";"JAIR BOLSONARO";"1188"
"ADUSTINA";"NULO";"348"
"AIQUARA";"BRANCO";"45"
"AIQUARA";"FERNANDO HADDAD";"2096"
"AIQUARA";"JAIR BOLSONARO";"475"
"AIQUARA";"NULO";"185"
"ALAGOINHAS";"BRANCO";"1503"
"ALAGOINHAS";"FERNANDO HADDAD";"51668"
"ALAGOINHAS";"JAIR BOLSONARO";"24844"
"ALAGOINHAS";"NULO";"7976"
"ALCOBAÇA";"BRANCO";"115"
"ALCOBAÇA";"FERNANDO HADDAD";"7839"
"ALCOBAÇA";"JAIR BOLSONARO";"2487"
"ALCOBAÇA";"NULO";"612"
"ALMADINA";"BRANCO";"50"
"ALMADINA";"FERNANDO HADDAD";"2527"
"ALMADINA";"JAIR BOLSONARO";"628"
"ALMADINA";"NULO";"144"
"AMARGOSA";"BRANCO";"275"
"AMARGOSA";"FERNANDO HADDAD";"12470"
"AMARGOSA";"JAIR BOLSONARO";"6203"
"AMARGOSA";"NULO";"1394"
"AMÉLIA RODRIGUES";"BRANCO";"186"
"AMÉLIA RODRIGUES";"FERNANDO HADDAD";"10510"
"AMÉLIA RODRIGUES";"JAIR BOLSONARO";"2568"
"AMÉLIA RODRIGUES";"NULO";"981"
"AMÉRICA DOURADA";"BRANCO";"68"
"AMÉRICA DOURADA";"FERNANDO HADDAD";"7472"
"AMÉRICA DOURADA";"JAIR BOLSONARO";"1037"
"AMÉRICA DOURADA";"NULO";"321"
"ANAGÉ";"BRANCO";"149"
"ANAGÉ";"FERNANDO HADDAD";"9762"
"ANAGÉ";"JAIR BOLSONARO";"2543"
"ANAGÉ";"NULO";"732"
"ANDARAÍ";"BRANCO";"56"
"ANDARAÍ";"FERNANDO HADDAD";"6057"
"ANDARAÍ";"JAIR BOLSONARO";"867"
"ANDARAÍ";"NULO";"389"
"ANDORINHA";"BRANCO";"86"
"ANDORINHA";"FERNANDO HADDAD";"8339"
"ANDORINHA";"JAIR BOLSONARO";"717"
"ANDORINHA";"NULO";"332"
"ANGICAL";"BRANCO";"66"
"ANGICAL";"FERNANDO HADDAD";"7552"
"ANGICAL";"JAIR BOLSONARO";"1628"
"ANGICAL";"NULO";"379"
"ANGUERA";"BRANCO";"65"
"ANGUERA";"FERNANDO HADDAD";"5502"
"ANGUERA";"JAIR BOLSONARO";"883"
"ANGUERA";"NULO";"284"
"ANTAS";"BRANCO";"61"
"ANTAS";"FERNANDO HADDAD";"5717"
"ANTAS";"JAIR BOLSONARO";"1445"
"ANTAS";"NULO";"402"
"ANTÔNIO CARDOSO";"BRANCO";"80"
"ANTÔNIO CARDOSO";"FERNANDO HADDAD";"7844"
"ANTÔNIO CARDOSO";"JAIR BOLSONARO";"931"
"ANTÔNIO CARDOSO";"NULO";"349"
"ANTÔNIO GONÇALVES";"BRANCO";"61"
"ANTÔNIO GONÇALVES";"FERNANDO HADDAD";"4445"
"ANTÔNIO GONÇALVES";"JAIR BOLSONARO";"1308"
"ANTÔNIO GONÇALVES";"NULO";"306"
"APORÁ";"BRANCO";"113"
"APORÁ";"FERNANDO HADDAD";"6763"
"APORÁ";"JAIR BOLSONARO";"1643"
"APORÁ";"NULO";"635"
"APUAREMA";"BRANCO";"49"
"APUAREMA";"FERNANDO HADDAD";"3019"
"APUAREMA";"JAIR BOLSONARO";"921"
"APUAREMA";"NULO";"304"
"ARACATU";"BRANCO";"105"
"ARACATU";"FERNANDO HADDAD";"7154"
"ARACATU";"JAIR BOLSONARO";"1704"
"ARACATU";"NULO";"410"
"ARACI";"BRANCO";"211"
"ARACI";"FERNANDO HADDAD";"22617"
"ARACI";"JAIR BOLSONARO";"3290"
"ARACI";"NULO";"1243"
"ARAMARI";"BRANCO";"111"
"ARAMARI";"FERNANDO HADDAD";"5643"
"ARAMARI";"JAIR BOLSONARO";"797"
"ARAMARI";"NULO";"419"
"ARATACA";"BRANCO";"41"
"ARATACA";"FERNANDO HADDAD";"3076"
"ARATACA";"JAIR BOLSONARO";"1152"
"ARATACA";"NULO";"205"
"ARATUÍPE";"BRANCO";"81"
"ARATUÍPE";"FERNANDO HADDAD";"4635"
"ARATUÍPE";"JAIR BOLSONARO";"827"
"ARATUÍPE";"NULO";"315"
"ARAÇÁS";"BRANCO";"86"
"ARAÇÁS";"FERNANDO HADDAD";"5945"
"ARAÇÁS";"JAIR BOLSONARO";"1237"
"ARAÇÁS";"NULO";"370"
"AURELINO LEAL";"BRANCO";"54"
"AURELINO LEAL";"FERNANDO HADDAD";"5154"
"AURELINO LEAL";"JAIR BOLSONARO";"1270"
"AURELINO LEAL";"NULO";"361"
"BAIANÓPOLIS";"BRANCO";"102"
"BAIANÓPOLIS";"FERNANDO HADDAD";"6478"
"BAIANÓPOLIS";"JAIR BOLSONARO";"1804"
"BAIANÓPOLIS";"NULO";"377"
"BAIXA GRANDE";"BRANCO";"182"
"BAIXA GRANDE";"FERNANDO HADDAD";"7344"
"BAIXA GRANDE";"JAIR BOLSONARO";"2551"
"BAIXA GRANDE";"NULO";"821"
"BANZAÊ";"BRANCO";"80"
"BANZAÊ";"FERNANDO HADDAD";"5815"
"BANZAÊ";"JAIR BOLSONARO";"1531"
"BANZAÊ";"NULO";"315"
"BARRA";"BRANCO";"216"
"BARRA";"FERNANDO HADDAD";"20502"
"BARRA";"JAIR BOLSONARO";"3628"
"BARRA";"NULO";"1012"
"BARRA DA ESTIVA";"BRANCO";"190"
"BARRA DA ESTIVA";"FERNANDO HADDAD";"10421"
"BARRA DA ESTIVA";"JAIR BOLSONARO";"3149"
"BARRA DA ESTIVA";"NULO";"1000"
"BARRA DO CHOÇA";"BRANCO";"237"
"BARRA DO CHOÇA";"FERNANDO HADDAD";"15363"
"BARRA DO CHOÇA";"JAIR BOLSONARO";"3762"
"BARRA DO CHOÇA";"NULO";"1333"
"BARRA DO MENDES";"BRANCO";"66"
"BARRA DO MENDES";"FERNANDO HADDAD";"7691"
"BARRA DO MENDES";"JAIR BOLSONARO";"779"
"BARRA DO MENDES";"NULO";"354"
"BARRA DO ROCHA";"BRANCO";"28"
"BARRA DO ROCHA";"FERNANDO HADDAD";"1901"
"BARRA DO ROCHA";"JAIR BOLSONARO";"657"
"BARRA DO ROCHA";"NULO";"170"
"BARREIRAS";"BRANCO";"981"
"BARREIRAS";"FERNANDO HADDAD";"43898"
"BARREIRAS";"JAIR BOLSONARO";"29915"
"BARREIRAS";"NULO";"3873"
"BARRO ALTO";"BRANCO";"82"
"BARRO ALTO";"FERNANDO HADDAD";"5893"
"BARRO ALTO";"JAIR BOLSONARO";"1091"
"BARRO ALTO";"NULO";"462"
"BARRO PRETO";"BRANCO";"57"
"BARRO PRETO";"FERNANDO HADDAD";"2715"
"BARRO PRETO";"JAIR BOLSONARO";"1096"
"BARRO PRETO";"NULO";"271"
"BARROCAS";"BRANCO";"79"
"BARROCAS";"FERNANDO HADDAD";"8478"
"BARROCAS";"JAIR BOLSONARO";"1420"
"BARROCAS";"NULO";"533"
"BELMONTE";"BRANCO";"103"
"BELMONTE";"FERNANDO HADDAD";"7351"
"BELMONTE";"JAIR BOLSONARO";"2713"
"BELMONTE";"NULO";"615"
"BELO CAMPO";"BRANCO";"133"
"BELO CAMPO";"FERNANDO HADDAD";"7092"
"BELO CAMPO";"JAIR BOLSONARO";"2443"
"BELO CAMPO";"NULO";"485"
"BIRITINGA";"BRANCO";"82"
"BIRITINGA";"FERNANDO HADDAD";"8405"
"BIRITINGA";"JAIR BOLSONARO";"877"
"BIRITINGA";"NULO";"543"
"BOA NOVA";"BRANCO";"81"
"BOA NOVA";"FERNANDO HADDAD";"6603"
"BOA NOVA";"JAIR BOLSONARO";"889"
"BOA NOVA";"NULO";"478"
"BOA VISTA DO TUPIM";"BRANCO";"121"
"BOA VISTA DO TUPIM";"FERNANDO HADDAD";"6496"
"BOA VISTA DO TUPIM";"JAIR BOLSONARO";"2315"
"BOA VISTA DO TUPIM";"NULO";"673"
"BOM JESUS DA LAPA";"BRANCO";"365"
"BOM JESUS DA LAPA";"FERNANDO HADDAD";"24779"
"BOM JESUS DA LAPA";"JAIR BOLSONARO";"6165"
"BOM JESUS DA LAPA";"NULO";"1624"
"BOM JESUS DA SERRA";"BRANCO";"59"
"BOM JESUS DA SERRA";"FERNANDO HADDAD";"4964"
"BOM JESUS DA SERRA";"JAIR BOLSONARO";"534"
"BOM JESUS DA SERRA";"NULO";"279"
"BONINAL";"BRANCO";"99"
"BONINAL";"FERNANDO HADDAD";"5100"
"BONINAL";"JAIR BOLSONARO";"1598"
"BONINAL";"NULO";"514"
"BONITO";"BRANCO";"100"
"BONITO";"FERNANDO HADDAD";"7245"
"BONITO";"JAIR BOLSONARO";"1225"
"BONITO";"NULO";"496"
"BOQUIRA";"BRANCO";"75"
"BOQUIRA";"FERNANDO HADDAD";"10054"
"BOQUIRA";"JAIR BOLSONARO";"873"
"BOQUIRA";"NULO";"488"
"BOTUPORÃ";"BRANCO";"73"
"BOTUPORÃ";"FERNANDO HADDAD";"5404"
"BOTUPORÃ";"JAIR BOLSONARO";"956"
"BOTUPORÃ";"NULO";"289"
"BREJOLÂNDIA";"BRANCO";"110"
"BREJOLÂNDIA";"FERNANDO HADDAD";"3924"
"BREJOLÂNDIA";"JAIR BOLSONARO";"1221"
"BREJOLÂNDIA";"NULO";"225"
"BREJÕES";"BRANCO";"107"
"BREJÕES";"FERNANDO HADDAD";"5247"
"BREJÕES";"JAIR BOLSONARO";"1550"
"BREJÕES";"NULO";"419"
"BROTAS DE MACAÚBAS";"BRANCO";"71"
"BROTAS DE MACAÚBAS";"FERNANDO HADDAD";"4502"
"BROTAS DE MACAÚBAS";"JAIR BOLSONARO";"1613"
"BROTAS DE MACAÚBAS";"NULO";"411"
"BRUMADO";"BRANCO";"458"
"BRUMADO";"FERNANDO HADDAD";"25911"
"BRUMADO";"JAIR BOLSONARO";"12294"
"BRUMADO";"NULO";"2629"
"BUERAREMA";"BRANCO";"126"
"BUERAREMA";"FERNANDO HADDAD";"3803"
"BUERAREMA";"JAIR BOLSONARO";"4698"
"BUERAREMA";"NULO";"608"
"BURITIRAMA";"BRANCO";"86"
"BURITIRAMA";"FERNANDO HADDAD";"8175"
"BURITIRAMA";"JAIR BOLSONARO";"1958"
"BURITIRAMA";"NULO";"392"
"CAATIBA";"BRANCO";"35"
"CAATIBA";"FERNANDO HADDAD";"3030"
"CAATIBA";"JAIR BOLSONARO";"1521"
"CAATIBA";"NULO";"339"
"CABACEIRAS DO PARAGUAÇU";"BRANCO";"80"
"CABACEIRAS DO PARAGUAÇU";"FERNANDO HADDAD";"7782"
"CABACEIRAS DO PARAGUAÇU";"JAIR BOLSONARO";"1214"
"CABACEIRAS DO PARAGUAÇU";"NULO";"499"
"CACHOEIRA";"BRANCO";"227"
"CACHOEIRA";"FERNANDO HADDAD";"14904"
"CACHOEIRA";"JAIR BOLSONARO";"2874"
"CACHOEIRA";"NULO";"920"
"CACULÉ";"BRANCO";"210"
"CACULÉ";"FERNANDO HADDAD";"8317"
"CACULÉ";"JAIR BOLSONARO";"3692"
"CACULÉ";"NULO";"776"
"CAEM";"BRANCO";"48"
"CAEM";"FERNANDO HADDAD";"4839"
"CAEM";"JAIR BOLSONARO";"695"
"CAEM";"NULO";"327"
"CAETANOS";"BRANCO";"42"
"CAETANOS";"FERNANDO HADDAD";"5974"
"CAETANOS";"JAIR BOLSONARO";"573"
"CAETANOS";"NULO";"231"
"CAETITÉ";"BRANCO";"342"
"CAETITÉ";"FERNANDO HADDAD";"23063"
"CAETITÉ";"JAIR BOLSONARO";"6006"
"CAETITÉ";"NULO";"1835"
"CAFARNAUM";"BRANCO";"139"
"CAFARNAUM";"FERNANDO HADDAD";"7181"
"CAFARNAUM";"JAIR BOLSONARO";"2123"
"CAFARNAUM";"NULO";"524"
"CAIRU";"BRANCO";"125"
"CAIRU";"FERNANDO HADDAD";"6230"
"CAIRU";"JAIR BOLSONARO";"2661"
"CAIRU";"NULO";"728"
"CALDEIRÃO GRANDE";"BRANCO";"70"
"CALDEIRÃO GRANDE";"FERNANDO HADDAD";"5852"
"CALDEIRÃO GRANDE";"JAIR BOLSONARO";"774"
"CALDEIRÃO GRANDE";"NULO";"327"
"CAMACÃ";"BRANCO";"173"
"CAMACÃ";"FERNANDO HADDAD";"7323"
"CAMACÃ";"JAIR BOLSONARO";"4265"
"CAMACÃ";"NULO";"824"
"CAMAMU";"BRANCO";"263"
"CAMAMU";"FERNANDO HADDAD";"9733"
"CAMAMU";"JAIR BOLSONARO";"5178"
