"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ACEGUÁ";"BRANCO";"109"
"ACEGUÁ";"FERNANDO HADDAD";"1025"
"ACEGUÁ";"JAIR BOLSONARO";"1739"
"ACEGUÁ";"NULO";"101"
"AGUDO";"BRANCO";"360"
"AGUDO";"FERNANDO HADDAD";"3949"
"AGUDO";"JAIR BOLSONARO";"6043"
"AGUDO";"NULO";"546"
"AJURICABA";"BRANCO";"87"
"AJURICABA";"FERNANDO HADDAD";"1635"
"AJURICABA";"JAIR BOLSONARO";"3116"
"AJURICABA";"NULO";"171"
"ALECRIM";"BRANCO";"94"
"ALECRIM";"FERNANDO HADDAD";"1909"
"ALECRIM";"JAIR BOLSONARO";"2355"
"ALECRIM";"NULO";"229"
"ALEGRETE";"BRANCO";"1233"
"ALEGRETE";"FERNANDO HADDAD";"18469"
"ALEGRETE";"JAIR BOLSONARO";"21771"
"ALEGRETE";"NULO";"2213"
"ALEGRIA";"BRANCO";"85"
"ALEGRIA";"FERNANDO HADDAD";"1215"
"ALEGRIA";"JAIR BOLSONARO";"1308"
"ALEGRIA";"NULO";"155"
"ALMIRANTE TAMANDARÉ DO SUL";"BRANCO";"37"
"ALMIRANTE TAMANDARÉ DO SUL";"FERNANDO HADDAD";"573"
"ALMIRANTE TAMANDARÉ DO SUL";"JAIR BOLSONARO";"923"
"ALMIRANTE TAMANDARÉ DO SUL";"NULO";"94"
"ALPESTRE";"BRANCO";"194"
"ALPESTRE";"FERNANDO HADDAD";"2519"
"ALPESTRE";"JAIR BOLSONARO";"2435"
"ALPESTRE";"NULO";"301"
"ALTO ALEGRE";"BRANCO";"53"
"ALTO ALEGRE";"FERNANDO HADDAD";"586"
"ALTO ALEGRE";"JAIR BOLSONARO";"772"
"ALTO ALEGRE";"NULO";"74"
"ALTO FELIZ";"BRANCO";"57"
"ALTO FELIZ";"FERNANDO HADDAD";"403"
"ALTO FELIZ";"JAIR BOLSONARO";"1592"
"ALTO FELIZ";"NULO";"173"
"ALVORADA";"BRANCO";"4154"
"ALVORADA";"FERNANDO HADDAD";"35734"
"ALVORADA";"JAIR BOLSONARO";"57782"
"ALVORADA";"NULO";"8435"
"AMARAL FERRADOR";"BRANCO";"156"
"AMARAL FERRADOR";"FERNANDO HADDAD";"1630"
"AMARAL FERRADOR";"JAIR BOLSONARO";"1687"
"AMARAL FERRADOR";"NULO";"252"
"AMETISTA DO SUL";"BRANCO";"163"
"AMETISTA DO SUL";"FERNANDO HADDAD";"1956"
"AMETISTA DO SUL";"JAIR BOLSONARO";"2141"
"AMETISTA DO SUL";"NULO";"297"
"ANDRÉ DA ROCHA";"BRANCO";"29"
"ANDRÉ DA ROCHA";"FERNANDO HADDAD";"236"
"ANDRÉ DA ROCHA";"JAIR BOLSONARO";"709"
"ANDRÉ DA ROCHA";"NULO";"44"
"ANTA GORDA";"BRANCO";"145"
"ANTA GORDA";"FERNANDO HADDAD";"612"
"ANTA GORDA";"JAIR BOLSONARO";"3203"
"ANTA GORDA";"NULO";"237"
"ANTÔNIO PRADO";"BRANCO";"192"
"ANTÔNIO PRADO";"FERNANDO HADDAD";"1250"
"ANTÔNIO PRADO";"JAIR BOLSONARO";"7131"
"ANTÔNIO PRADO";"NULO";"479"
"ARAMBARÉ";"BRANCO";"82"
"ARAMBARÉ";"FERNANDO HADDAD";"874"
"ARAMBARÉ";"JAIR BOLSONARO";"1437"
"ARAMBARÉ";"NULO";"149"
"ARARICÁ";"BRANCO";"99"
"ARARICÁ";"FERNANDO HADDAD";"1218"
"ARARICÁ";"JAIR BOLSONARO";"2670"
"ARARICÁ";"NULO";"238"
"ARATIBA";"BRANCO";"109"
"ARATIBA";"FERNANDO HADDAD";"2090"
"ARATIBA";"JAIR BOLSONARO";"2831"
"ARATIBA";"NULO";"263"
"ARROIO DO MEIO";"BRANCO";"406"
"ARROIO DO MEIO";"FERNANDO HADDAD";"3421"
"ARROIO DO MEIO";"JAIR BOLSONARO";"9339"
"ARROIO DO MEIO";"NULO";"827"
"ARROIO DO PADRE";"BRANCO";"39"
"ARROIO DO PADRE";"FERNANDO HADDAD";"399"
"ARROIO DO PADRE";"JAIR BOLSONARO";"1876"
"ARROIO DO PADRE";"NULO";"77"
"ARROIO DO SAL";"BRANCO";"171"
"ARROIO DO SAL";"FERNANDO HADDAD";"1318"
"ARROIO DO SAL";"JAIR BOLSONARO";"3619"
"ARROIO DO SAL";"NULO";"348"
"ARROIO DO TIGRE";"BRANCO";"280"
"ARROIO DO TIGRE";"FERNANDO HADDAD";"3256"
"ARROIO DO TIGRE";"JAIR BOLSONARO";"4640"
"ARROIO DO TIGRE";"NULO";"425"
"ARROIO DOS RATOS";"BRANCO";"356"
"ARROIO DOS RATOS";"FERNANDO HADDAD";"3353"
"ARROIO DOS RATOS";"JAIR BOLSONARO";"3883"
"ARROIO DOS RATOS";"NULO";"641"
"ARROIO GRANDE";"BRANCO";"424"
"ARROIO GRANDE";"FERNANDO HADDAD";"5903"
"ARROIO GRANDE";"JAIR BOLSONARO";"4816"
"ARROIO GRANDE";"NULO";"819"
"ARVOREZINHA";"BRANCO";"332"
"ARVOREZINHA";"FERNANDO HADDAD";"1987"
"ARVOREZINHA";"JAIR BOLSONARO";"4539"
"ARVOREZINHA";"NULO";"420"
"AUGUSTO PESTANA";"BRANCO";"109"
"AUGUSTO PESTANA";"FERNANDO HADDAD";"1467"
"AUGUSTO PESTANA";"JAIR BOLSONARO";"3061"
"AUGUSTO PESTANA";"NULO";"258"
"BAGÉ";"BRANCO";"2439"
"BAGÉ";"FERNANDO HADDAD";"27319"
"BAGÉ";"JAIR BOLSONARO";"35630"
"BAGÉ";"NULO";"4701"
"BALNEÁRIO PINHAL";"BRANCO";"172"
"BALNEÁRIO PINHAL";"FERNANDO HADDAD";"1910"
"BALNEÁRIO PINHAL";"JAIR BOLSONARO";"3613"
"BALNEÁRIO PINHAL";"NULO";"437"
"BARRA DO GUARITA";"BRANCO";"16"
"BARRA DO GUARITA";"FERNANDO HADDAD";"998"
"BARRA DO GUARITA";"JAIR BOLSONARO";"804"
"BARRA DO GUARITA";"NULO";"110"
"BARRA DO QUARAÍ";"BRANCO";"30"
"BARRA DO QUARAÍ";"FERNANDO HADDAD";"963"
"BARRA DO QUARAÍ";"JAIR BOLSONARO";"994"
"BARRA DO QUARAÍ";"NULO";"89"
"BARRA DO RIBEIRO";"BRANCO";"263"
"BARRA DO RIBEIRO";"FERNANDO HADDAD";"2789"
"BARRA DO RIBEIRO";"JAIR BOLSONARO";"4285"
"BARRA DO RIBEIRO";"NULO";"645"
"BARRA DO RIO AZUL";"BRANCO";"51"
"BARRA DO RIO AZUL";"FERNANDO HADDAD";"704"
"BARRA DO RIO AZUL";"JAIR BOLSONARO";"684"
"BARRA DO RIO AZUL";"NULO";"106"
"BARRA FUNDA";"BRANCO";"52"
"BARRA FUNDA";"FERNANDO HADDAD";"785"
"BARRA FUNDA";"JAIR BOLSONARO";"1263"
"BARRA FUNDA";"NULO";"123"
"BARRACÃO";"BRANCO";"136"
"BARRACÃO";"FERNANDO HADDAD";"1468"
"BARRACÃO";"JAIR BOLSONARO";"1656"
"BARRACÃO";"NULO";"256"
"BARROS CASSAL";"BRANCO";"223"
"BARROS CASSAL";"FERNANDO HADDAD";"2887"
"BARROS CASSAL";"JAIR BOLSONARO";"2991"
"BARROS CASSAL";"NULO";"396"
"BARÃO";"BRANCO";"102"
"BARÃO";"FERNANDO HADDAD";"963"
"BARÃO";"JAIR BOLSONARO";"2974"
"BARÃO";"NULO";"262"
"BARÃO DE COTEGIPE";"BRANCO";"152"
"BARÃO DE COTEGIPE";"FERNANDO HADDAD";"1528"
"BARÃO DE COTEGIPE";"JAIR BOLSONARO";"2645"
"BARÃO DE COTEGIPE";"NULO";"287"
"BARÃO DO TRIUNFO";"BRANCO";"222"
"BARÃO DO TRIUNFO";"FERNANDO HADDAD";"1245"
"BARÃO DO TRIUNFO";"JAIR BOLSONARO";"2118"
"BARÃO DO TRIUNFO";"NULO";"229"
"BENJAMIN CONSTANT DO SUL";"BRANCO";"39"
"BENJAMIN CONSTANT DO SUL";"FERNANDO HADDAD";"971"
"BENJAMIN CONSTANT DO SUL";"JAIR BOLSONARO";"518"
"BENJAMIN CONSTANT DO SUL";"NULO";"73"
"BENTO GONÇALVES";"BRANCO";"1588"
"BENTO GONÇALVES";"FERNANDO HADDAD";"12741"
"BENTO GONÇALVES";"JAIR BOLSONARO";"56142"
"BENTO GONÇALVES";"NULO";"3670"
"BOA VISTA DAS MISSÕES";"BRANCO";"45"
"BOA VISTA DAS MISSÕES";"FERNANDO HADDAD";"753"
"BOA VISTA DAS MISSÕES";"JAIR BOLSONARO";"683"
"BOA VISTA DAS MISSÕES";"NULO";"78"
"BOA VISTA DO BURICÁ";"BRANCO";"105"
"BOA VISTA DO BURICÁ";"FERNANDO HADDAD";"1441"
"BOA VISTA DO BURICÁ";"JAIR BOLSONARO";"2959"
"BOA VISTA DO BURICÁ";"NULO";"271"
"BOA VISTA DO CADEADO";"BRANCO";"44"
"BOA VISTA DO CADEADO";"FERNANDO HADDAD";"447"
"BOA VISTA DO CADEADO";"JAIR BOLSONARO";"1073"
"BOA VISTA DO CADEADO";"NULO";"77"
"BOA VISTA DO INCRA";"BRANCO";"38"
"BOA VISTA DO INCRA";"FERNANDO HADDAD";"633"
"BOA VISTA DO INCRA";"JAIR BOLSONARO";"1012"
"BOA VISTA DO INCRA";"NULO";"51"
"BOA VISTA DO SUL";"BRANCO";"53"
"BOA VISTA DO SUL";"FERNANDO HADDAD";"396"
"BOA VISTA DO SUL";"JAIR BOLSONARO";"1612"
"BOA VISTA DO SUL";"NULO";"91"
"BOM JESUS";"BRANCO";"337"
"BOM JESUS";"FERNANDO HADDAD";"2538"
"BOM JESUS";"JAIR BOLSONARO";"3269"
"BOM JESUS";"NULO";"418"
"BOM PRINCÍPIO";"BRANCO";"184"
"BOM PRINCÍPIO";"FERNANDO HADDAD";"1355"
"BOM PRINCÍPIO";"JAIR BOLSONARO";"6741"
"BOM PRINCÍPIO";"NULO";"392"
"BOM PROGRESSO";"BRANCO";"30"
"BOM PROGRESSO";"FERNANDO HADDAD";"800"
"BOM PROGRESSO";"JAIR BOLSONARO";"804"
"BOM PROGRESSO";"NULO";"59"
"BOM RETIRO DO SUL";"BRANCO";"233"
"BOM RETIRO DO SUL";"FERNANDO HADDAD";"2073"
"BOM RETIRO DO SUL";"JAIR BOLSONARO";"5191"
"BOM RETIRO DO SUL";"NULO";"586"
"BOQUEIRÃO DO LEÃO";"BRANCO";"139"
"BOQUEIRÃO DO LEÃO";"FERNANDO HADDAD";"2022"
"BOQUEIRÃO DO LEÃO";"JAIR BOLSONARO";"2210"
"BOQUEIRÃO DO LEÃO";"NULO";"259"
"BOSSOROCA";"BRANCO";"169"
"BOSSOROCA";"FERNANDO HADDAD";"1894"
"BOSSOROCA";"JAIR BOLSONARO";"1626"
"BOSSOROCA";"NULO";"241"
"BOZANO";"BRANCO";"23"
"BOZANO";"FERNANDO HADDAD";"622"
"BOZANO";"JAIR BOLSONARO";"1264"
"BOZANO";"NULO";"65"
"BRAGA";"BRANCO";"75"
"BRAGA";"FERNANDO HADDAD";"1190"
"BRAGA";"JAIR BOLSONARO";"871"
"BRAGA";"NULO";"135"
"BROCHIER";"BRANCO";"91"
"BROCHIER";"FERNANDO HADDAD";"967"
"BROCHIER";"JAIR BOLSONARO";"2008"
"BROCHIER";"NULO";"286"
"BUTIÁ";"BRANCO";"518"
"BUTIÁ";"FERNANDO HADDAD";"4631"
"BUTIÁ";"JAIR BOLSONARO";"5995"
"BUTIÁ";"NULO";"734"
"CACEQUI";"BRANCO";"179"
"CACEQUI";"FERNANDO HADDAD";"3290"
"CACEQUI";"JAIR BOLSONARO";"2850"
"CACEQUI";"NULO";"487"
"CACHOEIRA DO SUL";"BRANCO";"1964"
"CACHOEIRA DO SUL";"FERNANDO HADDAD";"15395"
"CACHOEIRA DO SUL";"JAIR BOLSONARO";"30445"
"CACHOEIRA DO SUL";"NULO";"2633"
"CACHOEIRINHA";"BRANCO";"2458"
"CACHOEIRINHA";"FERNANDO HADDAD";"22310"
"CACHOEIRINHA";"JAIR BOLSONARO";"51143"
"CACHOEIRINHA";"NULO";"5037"
"CACIQUE DOBLE";"BRANCO";"118"
"CACIQUE DOBLE";"FERNANDO HADDAD";"1206"
"CACIQUE DOBLE";"JAIR BOLSONARO";"1847"
"CACIQUE DOBLE";"NULO";"152"
"CAIBATÉ";"BRANCO";"99"
"CAIBATÉ";"FERNANDO HADDAD";"1624"
"CAIBATÉ";"JAIR BOLSONARO";"1426"
"CAIBATÉ";"NULO";"171"
"CAIÇARA";"BRANCO";"82"
"CAIÇARA";"FERNANDO HADDAD";"1401"
"CAIÇARA";"JAIR BOLSONARO";"1859"
"CAIÇARA";"NULO";"155"
"CAMAQUÃ";"BRANCO";"1486"
"CAMAQUÃ";"FERNANDO HADDAD";"12485"
"CAMAQUÃ";"JAIR BOLSONARO";"23621"
"CAMAQUÃ";"NULO";"2213"
"CAMARGO";"BRANCO";"51"
"CAMARGO";"FERNANDO HADDAD";"561"
"CAMARGO";"JAIR BOLSONARO";"1295"
"CAMARGO";"NULO";"127"
"CAMBARÁ DO SUL";"BRANCO";"145"
"CAMBARÁ DO SUL";"FERNANDO HADDAD";"1026"
"CAMBARÁ DO SUL";"JAIR BOLSONARO";"2580"
"CAMBARÁ DO SUL";"NULO";"297"
"CAMPESTRE DA SERRA";"BRANCO";"49"
"CAMPESTRE DA SERRA";"FERNANDO HADDAD";"295"
"CAMPESTRE DA SERRA";"JAIR BOLSONARO";"1774"
"CAMPESTRE DA SERRA";"NULO";"131"
"CAMPINA DAS MISSÕES";"BRANCO";"89"
"CAMPINA DAS MISSÕES";"FERNANDO HADDAD";"1785"
"CAMPINA DAS MISSÕES";"JAIR BOLSONARO";"2341"
"CAMPINA DAS MISSÕES";"NULO";"220"
"CAMPINAS DO SUL";"BRANCO";"100"
"CAMPINAS DO SUL";"FERNANDO HADDAD";"873"
"CAMPINAS DO SUL";"JAIR BOLSONARO";"2741"
"CAMPINAS DO SUL";"NULO";"237"
"CAMPO BOM";"BRANCO";"1052"
"CAMPO BOM";"FERNANDO HADDAD";"9932"
"CAMPO BOM";"JAIR BOLSONARO";"29746"
"CAMPO BOM";"NULO";"2326"
"CAMPO NOVO";"BRANCO";"66"
"CAMPO NOVO";"FERNANDO HADDAD";"1629"
"CAMPO NOVO";"JAIR BOLSONARO";"1496"
"CAMPO NOVO";"NULO";"196"
"CAMPOS BORGES";"BRANCO";"129"
"CAMPOS BORGES";"FERNANDO HADDAD";"1078"
"CAMPOS BORGES";"JAIR BOLSONARO";"1262"
"CAMPOS BORGES";"NULO";"118"
"CANDELÁRIA";"BRANCO";"821"
"CANDELÁRIA";"FERNANDO HADDAD";"6168"
"CANDELÁRIA";"JAIR BOLSONARO";"10474"
"CANDELÁRIA";"NULO";"1247"
"CANDIOTA";"BRANCO";"176"
"CANDIOTA";"FERNANDO HADDAD";"3524"
"CANDIOTA";"JAIR BOLSONARO";"2005"
"CANDIOTA";"NULO";"383"
"CANELA";"BRANCO";"962"
"CANELA";"FERNANDO HADDAD";"5044"
"CANELA";"JAIR BOLSONARO";"16873"
"CANELA";"NULO";"1610"
"CANGUÇU";"BRANCO";"1560"
"CANGUÇU";"FERNANDO HADDAD";"12786"
"CANGUÇU";"JAIR BOLSONARO";"18428"
"CANGUÇU";"NULO";"2556"
"CANOAS";"BRANCO";"6450"
"CANOAS";"FERNANDO HADDAD";"63161"
"CANOAS";"JAIR BOLSONARO";"119862"
"CANOAS";"NULO";"13434"
"CANUDOS DO VALE";"BRANCO";"35"
"CANUDOS DO VALE";"FERNANDO HADDAD";"766"
"CANUDOS DO VALE";"JAIR BOLSONARO";"646"
"CANUDOS DO VALE";"NULO";"84"
"CAPELA DE SANTANA";"BRANCO";"185"
"CAPELA DE SANTANA";"FERNANDO HADDAD";"2237"
"CAPELA DE SANTANA";"JAIR BOLSONARO";"3196"
"CAPELA DE SANTANA";"NULO";"491"
"CAPITÃO";"BRANCO";"76"
"CAPITÃO";"FERNANDO HADDAD";"620"
"CAPITÃO";"JAIR BOLSONARO";"1322"
"CAPITÃO";"NULO";"139"
"CAPIVARI DO SUL";"BRANCO";"73"
