"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ITABAIANINHA";"BRANCO";"382"
"ITABAIANINHA";"FERNANDO HADDAD";"14754"
"ITABAIANINHA";"JAIR BOLSONARO";"6270"
"ITABAIANINHA";"NULO";"2057"
"ITABI";"BRANCO";"49"
"ITABI";"FERNANDO HADDAD";"2332"
"ITABI";"JAIR BOLSONARO";"800"
"ITABI";"NULO";"269"
"ITAPORANGA D'AJUDA";"BRANCO";"323"
"ITAPORANGA D'AJUDA";"FERNANDO HADDAD";"13186"
"ITAPORANGA D'AJUDA";"JAIR BOLSONARO";"4872"
"ITAPORANGA D'AJUDA";"NULO";"2211"
"JAPARATUBA";"BRANCO";"147"
"JAPARATUBA";"FERNANDO HADDAD";"7201"
"JAPARATUBA";"JAIR BOLSONARO";"2508"
"JAPARATUBA";"NULO";"926"
"JAPOATÃ";"BRANCO";"118"
"JAPOATÃ";"FERNANDO HADDAD";"6036"
"JAPOATÃ";"JAIR BOLSONARO";"1315"
"JAPOATÃ";"NULO";"634"
"LAGARTO";"BRANCO";"857"
"LAGARTO";"FERNANDO HADDAD";"38486"
"LAGARTO";"JAIR BOLSONARO";"13887"
"LAGARTO";"NULO";"6094"
"LARANJEIRAS";"BRANCO";"321"
"LARANJEIRAS";"FERNANDO HADDAD";"10434"
"LARANJEIRAS";"JAIR BOLSONARO";"4663"
"LARANJEIRAS";"NULO";"1876"
"MACAMBIRA";"BRANCO";"77"
"MACAMBIRA";"FERNANDO HADDAD";"3124"
"MACAMBIRA";"JAIR BOLSONARO";"1239"
"MACAMBIRA";"NULO";"492"
"MALHADA DOS BOIS";"BRANCO";"31"
"MALHADA DOS BOIS";"FERNANDO HADDAD";"2165"
"MALHADA DOS BOIS";"JAIR BOLSONARO";"509"
"MALHADA DOS BOIS";"NULO";"218"
"MALHADOR";"BRANCO";"112"
"MALHADOR";"FERNANDO HADDAD";"5417"
"MALHADOR";"JAIR BOLSONARO";"1530"
"MALHADOR";"NULO";"796"
"MARUIM";"BRANCO";"151"
"MARUIM";"FERNANDO HADDAD";"6999"
"MARUIM";"JAIR BOLSONARO";"1860"
"MARUIM";"NULO";"942"
"MOITA BONITA";"BRANCO";"158"
"MOITA BONITA";"FERNANDO HADDAD";"4091"
"MOITA BONITA";"JAIR BOLSONARO";"1906"
"MOITA BONITA";"NULO";"1047"
"MONTE ALEGRE DE SERGIPE";"BRANCO";"141"
"MONTE ALEGRE DE SERGIPE";"FERNANDO HADDAD";"6231"
"MONTE ALEGRE DE SERGIPE";"JAIR BOLSONARO";"1643"
"MONTE ALEGRE DE SERGIPE";"NULO";"656"
"MURIBECA";"BRANCO";"77"
"MURIBECA";"FERNANDO HADDAD";"3511"
"MURIBECA";"JAIR BOLSONARO";"1088"
"MURIBECA";"NULO";"457"
"NEÓPOLIS";"BRANCO";"140"
"NEÓPOLIS";"FERNANDO HADDAD";"7060"
"NEÓPOLIS";"JAIR BOLSONARO";"2159"
"NEÓPOLIS";"NULO";"1019"
"NOSSA SENHORA APARECIDA";"BRANCO";"128"
"NOSSA SENHORA APARECIDA";"FERNANDO HADDAD";"3689"
"NOSSA SENHORA APARECIDA";"JAIR BOLSONARO";"1502"
"NOSSA SENHORA APARECIDA";"NULO";"463"
"NOSSA SENHORA DA GLÓRIA";"BRANCO";"266"
"NOSSA SENHORA DA GLÓRIA";"FERNANDO HADDAD";"16250"
"NOSSA SENHORA DA GLÓRIA";"JAIR BOLSONARO";"3622"
"NOSSA SENHORA DA GLÓRIA";"NULO";"1509"
"NOSSA SENHORA DAS DORES";"BRANCO";"398"
"NOSSA SENHORA DAS DORES";"FERNANDO HADDAD";"9763"
"NOSSA SENHORA DAS DORES";"JAIR BOLSONARO";"4384"
"NOSSA SENHORA DAS DORES";"NULO";"1672"
"NOSSA SENHORA DE LOURDES";"BRANCO";"29"
"NOSSA SENHORA DE LOURDES";"FERNANDO HADDAD";"3478"
"NOSSA SENHORA DE LOURDES";"JAIR BOLSONARO";"704"
"NOSSA SENHORA DE LOURDES";"NULO";"312"
"NOSSA SENHORA DO SOCORRO";"BRANCO";"1692"
"NOSSA SENHORA DO SOCORRO";"FERNANDO HADDAD";"42414"
"NOSSA SENHORA DO SOCORRO";"JAIR BOLSONARO";"32091"
"NOSSA SENHORA DO SOCORRO";"NULO";"9480"
"PACATUBA";"BRANCO";"113"
"PACATUBA";"FERNANDO HADDAD";"5945"
"PACATUBA";"JAIR BOLSONARO";"1247"
"PACATUBA";"NULO";"688"
"PEDRA MOLE";"BRANCO";"32"
