"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ALCINÓPOLIS";"ALVARO DIAS";"37"
"ALCINÓPOLIS";"BRANCO";"29"
"ALCINÓPOLIS";"CABO DACIOLO";"11"
"ALCINÓPOLIS";"CIRO GOMES";"163"
"ALCINÓPOLIS";"FERNANDO HADDAD";"862"
"ALCINÓPOLIS";"GERALDO ALCKMIN";"276"
"ALCINÓPOLIS";"GUILHERME BOULOS";"4"
"ALCINÓPOLIS";"HENRIQUE MEIRELLES";"39"
"ALCINÓPOLIS";"JAIR BOLSONARO";"1025"
"ALCINÓPOLIS";"JOÃO AMOÊDO";"90"
"ALCINÓPOLIS";"MARINA SILVA";"8"
"ALCINÓPOLIS";"NULO";"70"
"AMAMBAI";"ALVARO DIAS";"155"
"AMAMBAI";"BRANCO";"292"
"AMAMBAI";"CABO DACIOLO";"73"
"AMAMBAI";"CIRO GOMES";"875"
"AMAMBAI";"EYMAEL";"2"
"AMAMBAI";"FERNANDO HADDAD";"6619"
"AMAMBAI";"GERALDO ALCKMIN";"1126"
"AMAMBAI";"GUILHERME BOULOS";"34"
"AMAMBAI";"HENRIQUE MEIRELLES";"107"
"AMAMBAI";"JAIR BOLSONARO";"9126"
"AMAMBAI";"JOÃO AMOÊDO";"127"
"AMAMBAI";"JOÃO GOULART FILHO";"2"
"AMAMBAI";"MARINA SILVA";"69"
"AMAMBAI";"NULO";"434"
"AMAMBAI";"VERA";"1"
"ANASTÁCIO";"ALVARO DIAS";"88"
"ANASTÁCIO";"BRANCO";"199"
"ANASTÁCIO";"CABO DACIOLO";"162"
"ANASTÁCIO";"CIRO GOMES";"927"
"ANASTÁCIO";"EYMAEL";"5"
"ANASTÁCIO";"FERNANDO HADDAD";"4078"
"ANASTÁCIO";"GERALDO ALCKMIN";"773"
"ANASTÁCIO";"GUILHERME BOULOS";"31"
"ANASTÁCIO";"HENRIQUE MEIRELLES";"102"
"ANASTÁCIO";"JAIR BOLSONARO";"6425"
"ANASTÁCIO";"JOÃO AMOÊDO";"53"
"ANASTÁCIO";"JOÃO GOULART FILHO";"5"
"ANASTÁCIO";"MARINA SILVA";"81"
"ANASTÁCIO";"NULO";"347"
"ANASTÁCIO";"VERA";"6"
"ANAURILÂNDIA";"ALVARO DIAS";"47"
"ANAURILÂNDIA";"BRANCO";"51"
"ANAURILÂNDIA";"CABO DACIOLO";"31"
"ANAURILÂNDIA";"CIRO GOMES";"324"
"ANAURILÂNDIA";"FERNANDO HADDAD";"1468"
"ANAURILÂNDIA";"GERALDO ALCKMIN";"478"
"ANAURILÂNDIA";"GUILHERME BOULOS";"11"
"ANAURILÂNDIA";"HENRIQUE MEIRELLES";"45"
"ANAURILÂNDIA";"JAIR BOLSONARO";"1746"
"ANAURILÂNDIA";"JOÃO AMOÊDO";"46"
"ANAURILÂNDIA";"MARINA SILVA";"18"
"ANAURILÂNDIA";"NULO";"159"
"ANGÉLICA";"ALVARO DIAS";"49"
"ANGÉLICA";"BRANCO";"105"
"ANGÉLICA";"CABO DACIOLO";"42"
"ANGÉLICA";"CIRO GOMES";"604"
"ANGÉLICA";"EYMAEL";"1"
"ANGÉLICA";"FERNANDO HADDAD";"2056"
"ANGÉLICA";"GERALDO ALCKMIN";"428"
"ANGÉLICA";"GUILHERME BOULOS";"16"
"ANGÉLICA";"HENRIQUE MEIRELLES";"45"
"ANGÉLICA";"JAIR BOLSONARO";"2542"
"ANGÉLICA";"JOÃO AMOÊDO";"77"
"ANGÉLICA";"JOÃO GOULART FILHO";"1"
"ANGÉLICA";"MARINA SILVA";"31"
"ANGÉLICA";"NULO";"284"
"ANTÔNIO JOÃO";"ALVARO DIAS";"29"
"ANTÔNIO JOÃO";"BRANCO";"47"
"ANTÔNIO JOÃO";"CABO DACIOLO";"21"
"ANTÔNIO JOÃO";"CIRO GOMES";"363"
"ANTÔNIO JOÃO";"EYMAEL";"1"
"ANTÔNIO JOÃO";"FERNANDO HADDAD";"1821"
"ANTÔNIO JOÃO";"GERALDO ALCKMIN";"366"
"ANTÔNIO JOÃO";"GUILHERME BOULOS";"12"
"ANTÔNIO JOÃO";"HENRIQUE MEIRELLES";"59"
"ANTÔNIO JOÃO";"JAIR BOLSONARO";"2308"
"ANTÔNIO JOÃO";"JOÃO AMOÊDO";"96"
"ANTÔNIO JOÃO";"JOÃO GOULART FILHO";"1"
"ANTÔNIO JOÃO";"MARINA SILVA";"22"
"ANTÔNIO JOÃO";"NULO";"118"
"ANTÔNIO JOÃO";"VERA";"1"
"APARECIDA DO TABOADO";"ALVARO DIAS";"84"
"APARECIDA DO TABOADO";"BRANCO";"365"
"APARECIDA DO TABOADO";"CABO DACIOLO";"57"
"APARECIDA DO TABOADO";"CIRO GOMES";"864"
"APARECIDA DO TABOADO";"EYMAEL";"1"
"APARECIDA DO TABOADO";"FERNANDO HADDAD";"2398"
"APARECIDA DO TABOADO";"GERALDO ALCKMIN";"931"
"APARECIDA DO TABOADO";"GUILHERME BOULOS";"16"
"APARECIDA DO TABOADO";"HENRIQUE MEIRELLES";"167"
"APARECIDA DO TABOADO";"JAIR BOLSONARO";"6854"
"APARECIDA DO TABOADO";"JOÃO AMOÊDO";"308"
"APARECIDA DO TABOADO";"JOÃO GOULART FILHO";"5"
"APARECIDA DO TABOADO";"MARINA SILVA";"71"
"APARECIDA DO TABOADO";"NULO";"679"
"APARECIDA DO TABOADO";"VERA";"1"
"AQUIDAUANA";"ALVARO DIAS";"145"
"AQUIDAUANA";"BRANCO";"393"
"AQUIDAUANA";"CABO DACIOLO";"305"
"AQUIDAUANA";"CIRO GOMES";"1661"
"AQUIDAUANA";"EYMAEL";"9"
"AQUIDAUANA";"FERNANDO HADDAD";"7864"
"AQUIDAUANA";"GERALDO ALCKMIN";"1719"
"AQUIDAUANA";"GUILHERME BOULOS";"86"
"AQUIDAUANA";"HENRIQUE MEIRELLES";"252"
"AQUIDAUANA";"JAIR BOLSONARO";"11155"
"AQUIDAUANA";"JOÃO AMOÊDO";"220"
"AQUIDAUANA";"JOÃO GOULART FILHO";"4"
"AQUIDAUANA";"MARINA SILVA";"266"
"AQUIDAUANA";"NULO";"578"
"AQUIDAUANA";"VERA";"13"
"ARAL MOREIRA";"ALVARO DIAS";"14"
"ARAL MOREIRA";"BRANCO";"36"
