"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABREU E LIMA";"BRANCO";"909"
"ABREU E LIMA";"FERNANDO HADDAD";"36019"
"ABREU E LIMA";"JAIR BOLSONARO";"24961"
"ABREU E LIMA";"NULO";"4743"
"AFOGADOS DA INGAZEIRA";"BRANCO";"222"
"AFOGADOS DA INGAZEIRA";"FERNANDO HADDAD";"15197"
"AFOGADOS DA INGAZEIRA";"JAIR BOLSONARO";"4476"
"AFOGADOS DA INGAZEIRA";"NULO";"948"
"AFRÂNIO";"BRANCO";"146"
"AFRÂNIO";"FERNANDO HADDAD";"8991"
"AFRÂNIO";"JAIR BOLSONARO";"2094"
"AFRÂNIO";"NULO";"778"
"AGRESTINA";"BRANCO";"202"
"AGRESTINA";"FERNANDO HADDAD";"11191"
"AGRESTINA";"JAIR BOLSONARO";"2932"
"AGRESTINA";"NULO";"1087"
"ALAGOINHA";"BRANCO";"61"
"ALAGOINHA";"FERNANDO HADDAD";"7753"
"ALAGOINHA";"JAIR BOLSONARO";"1057"
"ALAGOINHA";"NULO";"362"
"ALIANÇA";"BRANCO";"300"
"ALIANÇA";"FERNANDO HADDAD";"14987"
"ALIANÇA";"JAIR BOLSONARO";"5160"
"ALIANÇA";"NULO";"1235"
"ALTINHO";"BRANCO";"161"
"ALTINHO";"FERNANDO HADDAD";"9491"
"ALTINHO";"JAIR BOLSONARO";"2622"
"ALTINHO";"NULO";"851"
"AMARAJI";"BRANCO";"198"
"AMARAJI";"FERNANDO HADDAD";"8427"
"AMARAJI";"JAIR BOLSONARO";"3059"
"AMARAJI";"NULO";"991"
"ANGELIM";"BRANCO";"83"
"ANGELIM";"FERNANDO HADDAD";"4517"
"ANGELIM";"JAIR BOLSONARO";"1612"
"ANGELIM";"NULO";"337"
"ARARIPINA";"BRANCO";"432"
"ARARIPINA";"FERNANDO HADDAD";"33843"
"ARARIPINA";"JAIR BOLSONARO";"7083"
"ARARIPINA";"NULO";"1976"
"ARAÇOIABA";"BRANCO";"168"
"ARAÇOIABA";"FERNANDO HADDAD";"8887"
"ARAÇOIABA";"JAIR BOLSONARO";"2858"
"ARAÇOIABA";"NULO";"831"
"ARCOVERDE";"BRANCO";"454"
"ARCOVERDE";"FERNANDO HADDAD";"25396"
"ARCOVERDE";"JAIR BOLSONARO";"9623"
"ARCOVERDE";"NULO";"2000"
"BARRA DE GUABIRABA";"BRANCO";"68"
"BARRA DE GUABIRABA";"FERNANDO HADDAD";"4415"
"BARRA DE GUABIRABA";"JAIR BOLSONARO";"2426"
"BARRA DE GUABIRABA";"NULO";"603"
"BARREIROS";"BRANCO";"316"
"BARREIROS";"FERNANDO HADDAD";"14345"
"BARREIROS";"JAIR BOLSONARO";"6368"
"BARREIROS";"NULO";"1642"
"BELO JARDIM";"BRANCO";"790"
"BELO JARDIM";"FERNANDO HADDAD";"27616"
"BELO JARDIM";"JAIR BOLSONARO";"12584"
"BELO JARDIM";"NULO";"3592"
"BELÉM DE MARIA";"BRANCO";"89"
"BELÉM DE MARIA";"FERNANDO HADDAD";"4917"
"BELÉM DE MARIA";"JAIR BOLSONARO";"1356"
"BELÉM DE MARIA";"NULO";"383"
"BELÉM DO SÃO FRANCISCO";"BRANCO";"108"
