"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ALTA FLORESTA D'OESTE";"BRANCO";"169"
"ALTA FLORESTA D'OESTE";"FERNANDO HADDAD";"3763"
"ALTA FLORESTA D'OESTE";"JAIR BOLSONARO";"8524"
"ALTA FLORESTA D'OESTE";"NULO";"626"
"ALTO ALEGRE DOS PARECIS";"BRANCO";"105"
"ALTO ALEGRE DOS PARECIS";"FERNANDO HADDAD";"2244"
"ALTO ALEGRE DOS PARECIS";"JAIR BOLSONARO";"3790"
"ALTO ALEGRE DOS PARECIS";"NULO";"426"
"ALTO PARAÍSO";"BRANCO";"114"
"ALTO PARAÍSO";"FERNANDO HADDAD";"2257"
"ALTO PARAÍSO";"JAIR BOLSONARO";"5701"
"ALTO PARAÍSO";"NULO";"379"
"ALVORADA DO OESTE";"BRANCO";"124"
"ALVORADA DO OESTE";"FERNANDO HADDAD";"2817"
"ALVORADA DO OESTE";"JAIR BOLSONARO";"4729"
"ALVORADA DO OESTE";"NULO";"463"
"ARIQUEMES";"BRANCO";"754"
"ARIQUEMES";"FERNANDO HADDAD";"8862"
"ARIQUEMES";"JAIR BOLSONARO";"37325"
"ARIQUEMES";"NULO";"2041"
"BURITIS";"BRANCO";"199"
"BURITIS";"FERNANDO HADDAD";"3417"
"BURITIS";"JAIR BOLSONARO";"11682"
"BURITIS";"NULO";"709"
"CABIXI";"BRANCO";"56"
"CABIXI";"FERNANDO HADDAD";"1110"
"CABIXI";"JAIR BOLSONARO";"2142"
"CABIXI";"NULO";"195"
"CACAULÂNDIA";"BRANCO";"30"
"CACAULÂNDIA";"FERNANDO HADDAD";"694"
"CACAULÂNDIA";"JAIR BOLSONARO";"1967"
"CACAULÂNDIA";"NULO";"176"
"CACOAL";"BRANCO";"848"
"CACOAL";"FERNANDO HADDAD";"10091"
"CACOAL";"JAIR BOLSONARO";"35962"
"CACOAL";"NULO";"2024"
"CAMPO NOVO DE RONDÔNIA";"BRANCO";"68"
"CAMPO NOVO DE RONDÔNIA";"FERNANDO HADDAD";"1789"
"CAMPO NOVO DE RONDÔNIA";"JAIR BOLSONARO";"3595"
"CAMPO NOVO DE RONDÔNIA";"NULO";"289"
"CANDEIAS DO JAMARI";"BRANCO";"169"
"CANDEIAS DO JAMARI";"FERNANDO HADDAD";"4507"
"CANDEIAS DO JAMARI";"JAIR BOLSONARO";"7104"
"CANDEIAS DO JAMARI";"NULO";"620"
"CASTANHEIRAS";"BRANCO";"29"
"CASTANHEIRAS";"FERNANDO HADDAD";"875"
"CASTANHEIRAS";"JAIR BOLSONARO";"1250"
"CASTANHEIRAS";"NULO";"97"
"CEREJEIRAS";"BRANCO";"121"
"CEREJEIRAS";"FERNANDO HADDAD";"1745"
"CEREJEIRAS";"JAIR BOLSONARO";"7656"
"CEREJEIRAS";"NULO";"412"
"CHUPINGUAIA";"BRANCO";"92"
"CHUPINGUAIA";"FERNANDO HADDAD";"1504"
"CHUPINGUAIA";"JAIR BOLSONARO";"3057"
"CHUPINGUAIA";"NULO";"243"
"COLORADO DO OESTE";"BRANCO";"169"
"COLORADO DO OESTE";"FERNANDO HADDAD";"2441"
"COLORADO DO OESTE";"JAIR BOLSONARO";"6932"
"COLORADO DO OESTE";"NULO";"542"
"CORUMBIARA";"BRANCO";"55"
"CORUMBIARA";"FERNANDO HADDAD";"1613"
"CORUMBIARA";"JAIR BOLSONARO";"2585"
"CORUMBIARA";"NULO";"241"
"COSTA MARQUES";"BRANCO";"63"
"COSTA MARQUES";"FERNANDO HADDAD";"2329"
"COSTA MARQUES";"JAIR BOLSONARO";"3320"
"COSTA MARQUES";"NULO";"262"
"CUJUBIM";"BRANCO";"87"
"CUJUBIM";"FERNANDO HADDAD";"1775"
"CUJUBIM";"JAIR BOLSONARO";"4975"
"CUJUBIM";"NULO";"335"
